uri,followers,genres,name,popularity
spotify:artist:699OTQXzgjhIYAHMy9RyPD,2796281,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",Playboi Carti,83
spotify:artist:5CCwRZC6euC8Odo6y9X8jr,4994366,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Rita Ora,83
spotify:artist:6FBDaR13swtiWwGhX1WQsP,5407562,"['pop punk', 'punk', 'socal pop punk']",blink-182,82
spotify:artist:7rkW85dBwwrJtlHRDkJDAC,1624994,"['canadian hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",NAV,82
spotify:artist:22bE4uQ6baNwSHPVcDxLCe,7585059,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",The Rolling Stones,82
spotify:artist:2C6i0I5RiGzDKN9IAF8reh,6686657,"['banda', 'norteno', 'regional mexican']",Banda Sinaloense MS de Sergio Lizárraga,82
spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,1458049,"['bedroom pop', 'indie r&b']",Rex Orange County,82
spotify:artist:21WS9wngs9AqFckK7yYJPM,2119239,"['melodic rap', 'pop', 'pop rap', 'rap', 'trap']",PnB Rock,82
spotify:artist:3KV3p5EY4AvKxOlhGHORLg,3767613,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Jeremih,82
spotify:artist:4bw2Am3p9ji3mYsXNXtQcd,4375467,"['colombian pop', 'latin', 'reggaeton']",Piso 21,82
spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,1518075,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Metro Boomin,82
spotify:artist:1pPmIToKXyGdsCF6LmqLmI,1809493,"['atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Rich The Kid,82
spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,3902307,"['metropopolis', 'modern rock', 'pop']",Bastille,82
spotify:artist:4IVAbR2w4JJNJDDRFP3E83,1860379,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",6LACK,82
spotify:artist:3b8QkneNDz4JHKKKlLgYZg,3269129,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",Florida Georgia Line,82
spotify:artist:1pgDilWYDWLoOgGjf1iHNu,1385183,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",Zion,82
spotify:artist:05fG473iIaoy82BF1aGhL8,5057757,"['alternative metal', 'nu metal', 'rap metal']",Slipknot,82
spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,14290016,"['glam metal', 'hard rock', 'rock']",Guns N' Roses,82
spotify:artist:7n2Ycct7Beij7Dj7meI4X0,4070622,"['k-pop', 'k-pop girl group']",TWICE,82
spotify:artist:1Xylc3o4UrD53lo9CvFvVg,6073810,"['dance pop', 'edm', 'pop', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,82
spotify:artist:23zg3TcAtWQy7J6upgbUnj,7201632,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Usher,82
spotify:artist:6wWVKhxIU2cEi0K81v7HvP,3527995,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",Rammstein,82
spotify:artist:41MozSoPIsD1dJM0CLPjZF,9341302,"['k-pop', 'k-pop girl group']",BLACKPINK,82
spotify:artist:1yxSLGMDHlW21z4YXirZDS,3778351,"['dance pop', 'pop', 'pop rap']",The Black Eyed Peas,82
spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,1847614,"['big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",R3HAB,82
spotify:artist:6olE6TJLqED3rqDCT0FyPh,9660442,"['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock']",Nirvana,82
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,7138180,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Jason Derulo,82
spotify:artist:2jnIB6XdLvnJUeNTy5A0J2,1636335,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Why Don't We,82
spotify:artist:1elUiq4X7pxej6FRlrEzjM,10796306,"['sertanejo', 'sertanejo universitario']",Jorge & Mateus,82
